Run Date,8/18/2015 09:03:15
EntryNumber,elapsedTime,lastMeasFlowRateInMl,numOfSubmergedPads,submergedPadsBitMask,secondsOfNoWater,unknowns,tempC,PC0,PC1,PC2,PC3,PC4,PC5,PMAX0,PMAX1,PMAX2,PMAX3,PMAX4,PMAX5,pad_min[0],pad_min[1],pad_min[2],pad_min[3],pad_min[4],pad_min[5],padMeasDelta[0],padMeasDelta[1],padMeasDelta[2],padMeasDelta[3],padMeasDelta[4],padMeasDelta[5],padMax1Array[0],padMax1Array[1],padMax1Array[2],padMax1Array[3],padMax1Array[4],padMax1Array[5],padMax2Array[0],padMax2Array[1],padMax2Array[2],padMax2Array[3],padMax2Array[4],padMax2Array[5],
42,69203,0,0,0,96,6,0,39825,41983,41340,42757,44339,48011,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,431,254,56,66,29,44,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
43,70218,0,0,0,97,6,0,39828,41986,41340,42757,44345,48006,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,428,251,56,66,23,49,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
44,71218,0,0,0,98,6,0,39827,41985,41331,42760,44340,48003,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,429,252,65,63,28,52,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
45,72203,0,0,0,99,6,0,39849,41999,41345,42757,44330,47998,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,407,238,51,66,38,57,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
46,73218,0,0,0,100,6,0,39859,42012,41350,42767,44341,48012,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,397,225,46,56,27,43,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
47,74218,0,0,0,101,6,0,39879,42031,41351,42769,44329,48009,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,377,206,45,54,39,46,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
48,75203,0,0,0,102,6,0,39890,42042,41352,42777,44336,48016,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,366,195,44,46,32,39,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
49,76218,0,0,0,103,6,0,40221,42181,41367,42786,44338,48029,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,35,56,29,37,30,26,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
50,77203,0,0,0,104,6,0,40221,42199,41364,42782,44333,48021,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,35,38,32,41,35,34,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
51,78218,0,0,0,105,6,0,40222,42193,41372,42776,44328,48022,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,34,44,24,47,40,33,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
52,79218,0,0,0,106,6,0,40231,42209,41376,42789,44331,48022,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,25,28,20,34,37,33,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
